drug_concept_name,condition_concept_name,PRR,mean_reporting_frequency,drug_concept_name_tokens,condition_concept_name_tokens
ergoloid mesylates usp,cellulitis,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3526, 15859, 7315, 102]"
ergoloid mesylates usp,escherichia sepsis,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9686, 7474, 11319, 2050, 19802, 6190, 102]"
ergoloid mesylates usp,staphylococcal infection,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2358, 9331, 29598, 24163, 16665, 2140, 8985, 102]"
ergoloid mesylates usp,candidiasis,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 27467, 9032, 6190, 102]"
ergoloid mesylates usp,bronchitis,1.42857,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 22953, 12680, 13706, 102]"
ergoloid mesylates usp,pneumonia,0.645161,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 18583, 102]"
ergoloid mesylates usp,septic shock,1.42857,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 17419, 2594, 5213, 102]"
ergoloid mesylates usp,rash pustular,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 23438, 16405, 3367, 7934, 102]"
ergoloid mesylates usp,urinary tract infection,2.35294,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 24471, 3981, 2854, 12859, 8985, 102]"
ergoloid mesylates usp,influenza,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 24442, 102]"
ergoloid mesylates usp,limb injury,10.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 15291, 4544, 102]"
ergoloid mesylates usp,upper limb fracture,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3356, 15291, 19583, 102]"
ergoloid mesylates usp,acute generalised exanthematous pustulosis,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11325, 2236, 5084, 4654, 4630, 28433, 24826, 2015, 16405, 3367, 18845, 6190, 102]"
ergoloid mesylates usp,drug exposure during pregnancy,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4319, 7524, 2076, 10032, 102]"
ergoloid mesylates usp,fall,2.7907,0.0909091,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2991, 102]"
ergoloid mesylates usp,injury,2.85714,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4544, 102]"
ergoloid mesylates usp,laceration,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 12922, 8156, 102]"
ergoloid mesylates usp,head injury,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2132, 4544, 102]"
ergoloid mesylates usp,blister,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1038, 9863, 2121, 102]"
ergoloid mesylates usp,drug dose omission,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4319, 13004, 18168, 14643, 3258, 102]"
ergoloid mesylates usp,incorrect dose administered,5.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 16542, 13004, 8564, 102]"
ergoloid mesylates usp,wrong drug administered,20.0,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3308, 4319, 8564, 102]"
ergoloid mesylates usp,wrong technique in drug usage process,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3308, 6028, 1999, 4319, 8192, 2832, 102]"
ergoloid mesylates usp,overdose,1.17647,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 26641, 102]"
ergoloid mesylates usp,iatrogenic injury,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 24264, 13181, 16505, 4544, 102]"
ergoloid mesylates usp,heart rate decreased,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2540, 3446, 10548, 102]"
ergoloid mesylates usp,heart rate irregular,2.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2540, 3446, 12052, 102]"
ergoloid mesylates usp,blood pressure decreased,1.66667,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2668, 3778, 10548, 102]"
